CMB8.Input	CMB9.Input	Ctrl33.Input	Ctrl38.Input	CX14.Input	CX39.Input	EV12.Input	CMB31.Input	Ctrl6.Input	CX2.Input	EV26.Input	EV4.Input
0610005C13Rik	22	23	19	30	33	23	15	22	10	19	22	15
0610007P14Rik	799	938	774	838	856	717	949	801	814	791	844	625
0610009B22Rik	27	36	24	48	49	43	32	29	55	48	38	32
0610009E02Rik	10	13	6	9	10	10	6	10	4	1	5	0
0610009L18Rik	6	3	2	5	6	0	6	3	1	10	2	1
0610009O20Rik	799	1052	771	900	726	651	1251	643	593	482	603	550
0610010F05Rik	89	115	137	150	124	141	77	124	189	118	66	57
0610010K14Rik	12	19	10	12	20	9	8	8	11	8	11	15
0610011F06Rik	524	649	326	359	611	581	472	396	249	316	353	272
0610012D04Rik	0	1	1	2	0	0	4	1	0	0	7	0
0610012G03Rik	101	93	101	92	90	91	146	55	76	74	77	47
0610025J13Rik	0	0	0	1	0	0	0	0	0	0	0	0
0610030E20Rik	672	855	1100	1109	733	813	1189	689	1620	688	881	744
0610031O16Rik	2	0	0	8	3	6	1	0	2	0	0	0
0610037L13Rik	112	139	101	122	116	110	134	113	149	81	112	68
0610038B21Rik	10	21	4	11	10	22	6	2	7	9	4	3
0610039K10Rik	97	96	48	69	61	60	93	36	37	51	32	40
0610040B10Rik	7	45	4	16	15	12	12	49	5	5	10	0
0610040F04Rik	0	0	0	5	0	0	0	0	1	1	0	0
0610040J01Rik	270	430	88	93	678	718	80	142	80	395	127	115
0610043K17Rik	2	0	0	1	0	0	0	0	0	0	0	0
1010001B22Rik	6	4	2	7	4	2	3	8	1	4	1	3
1010001N08Rik	0	0	0	1	0	0	0	0	0	0	0	0
1110001J03Rik	117	118	132	156	121	104	136	90	112	71	135	102
1110002E22Rik	1	3	0	9	0	1	1	1	0	0	0	0
1110002J07Rik	0	0	0	9	5	1	2	0	0	0	0	0
1110002L01Rik	155	183	88	81	169	176	151	168	96	134	77	75
1110004E09Rik	527	687	530	544	606	708	578	474	454	444	424	402
1110004F10Rik	483	526	446	497	471	462	404	557	628	374	340	330
1110007C09Rik	196	199	116	172	159	133	215	116	72	117	126	108
1110008F13Rik	529	632	742	621	705	722	777	397	566	480	477	409
1110008L16Rik	290	308	190	229	330	403	234	268	311	275	210	173
1110008P14Rik	293	255	181	222	202	179	216	219	136	157	117	138
1110012L19Rik	44	63	41	55	63	40	50	56	43	45	37	37
1110015O18Rik	0	0	2	0	0	1	1	0	0	0	0	0
1110017D15Rik	0	1	0	1	0	1	0	0	0	0	0	0
1110018N20Rik	0	1	0	9	0	3	4	0	0	1	0	0
1110019D14Rik	11	18	34	22	19	8	13	15	29	17	22	11
1110020A21Rik	3	1	3	3	0	4	7	2	7	0	2	5
1110025L11Rik	0	0	0	1	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	4	0	1	1	0	1	0	0	3
1110028F18Rik	0	0	0	8	0	4	0	1	0	0	0	0
1110032A03Rik	28	41	32	43	24	28	21	35	35	13	19	23
1110032F04Rik	0	10	2	1	0	1	1	0	0	0	0	0
1110034G24Rik	39	47	49	48	51	44	86	56	21	27	30	25
1110035H17Rik	0	3	4	1	3	4	5	0	1	1	1	0
1110036E04Rik	0	0	0	0	0	1	0	0	3	0	0	0
1110037F02Rik	499	738	537	628	732	838	554	618	1024	699	460	363
1110038B12Rik	3412	3382	1537	1860	3605	3239	3135	2552	1344	2020	2036	1642
1110038F14Rik	327	464	284	335	354	356	357	262	264	218	221	228
1110046J04Rik	1	9	7	38	5	12	14	5	4	5	1	6
1110051M20Rik	111	199	26	34	134	105	119	156	46	108	36	35
1110054M08Rik	1	9	5	1	10	5	2	9	1	1	4	0
1110057K04Rik	193	278	199	261	265	299	247	245	372	243	209	172
1110057P08Rik	0	0	0	0	0	1	0	0	0	0	0	1
1110058L19Rik	13	11	16	8	24	8	13	20	13	15	11	5
1110059E24Rik	92	102	182	184	85	131	105	81	236	106	91	59
1110059G10Rik	45	52	55	87	103	93	57	81	105	60	63	50
1110065P20Rik	41	65	23	29	84	48	61	31	5	21	19	8
1190002F15Rik	75	67	220	153	54	48	86	61	119	36	47	60
1190002N15Rik	327	395	284	258	464	434	191	307	414	263	278	159
1190003K10Rik	1	0	0	1	0	0	0	0	0	0	0	0
1190005I06Rik	0	1	0	0	0	1	0	3	3	0	0	0
1190007I07Rik	354	417	335	320	435	318	411	307	275	231	355	232
1200007C13Rik	0	0	0	0	0	0	1	0	0	0	0	0
1200014J11Rik	434	557	508	648	510	659	566	433	800	484	449	364
1300002E11Rik	34	41	33	40	31	57	20	44	46	42	30	7
1300017J02Rik	4	7	6	11	5	8	5	6	2	1	0	0
1500002C15Rik	9	7	3	12	8	11	8	10	5	4	14	13
1500004A13Rik	152	179	98	194	216	195	180	123	134	118	111	83
1500009C09Rik	2	0	1	6	4	2	0	0	2	0	0	0
1500009L16Rik	0	0	0	0	0	1	0	0	0	0	0	0
1500011B03Rik	137	212	82	115	118	122	134	129	71	87	102	78
1500011K16Rik	112	192	109	139	132	105	101	96	92	61	85	56
1500012F01Rik	975	1210	777	992	1174	1024	1085	1070	761	857	934	751
1500012K07Rik	0	0	0	13	0	2	3	0	0	0	0	1
1500015A07Rik	24	23	18	30	27	15	21	21	30	17	21	21
1500015L24Rik	0	0	0	3	0	0	0	0	0	0	0	0
1500015O10Rik	0	0	0	0	0	2	0	0	0	3	0	0
1500017E21Rik	8	12	2	17	4	19	10	2	5	0	4	3
1500026H17Rik	8	18	29	45	15	27	20	5	1	1	5	6
1500035N22Rik	0	1	0	3	0	1	0	1	0	0	0	0
1520401A03Rik	0	0	1	6	0	6	3	0	0	0	0	0
1600002D24Rik	1	0	0	1	0	2	3	0	0	0	0	6
1600002H07Rik	213	232	206	260	290	268	314	230	256	185	268	203
1600002K03Rik	80	83	45	51	84	97	66	52	41	59	57	56
1600010M07Rik	35	62	43	124	94	143	68	28	29	4	19	13
1600012H06Rik	86	121	103	147	99	98	126	95	113	80	83	58
1600012P17Rik	0	0	3	2	0	4	0	1	0	0	0	0
1600014C10Rik	195	171	296	316	267	224	352	220	262	239	251	235
1600014C23Rik	12	8	0	2	1	3	3	1	3	4	7	0
1600015I10Rik	0	0	0	3	0	2	0	0	0	0	0	0
1600020E01Rik	60	69	69	48	63	51	72	38	52	36	46	37
1600025M17Rik	0	0	0	0	0	0	0	0	2	0	0	0
1600029I14Rik	0	0	0	1	0	0	0	0	0	0	0	0
1600029O15Rik	7	4	3	6	1	5	3	2	3	15	3	4
1700001C19Rik	1	0	0	3	0	2	0	0	0	0	0	0
1700001D01Rik	0	0	0	4	1	1	1	0	0	0	0	0
