CMB31.Poly	CMB9.Poly	Ctrl6.Poly	CX2.Poly	EV12.Poly	CMB8.Poly	Ctrl33.Poly	Ctrl38.Poly	EV26.Poly	EV4.Poly	CX14.Poly	CX39.Poly
0610005C13Rik	8	17	6	7	16	7	7	6	3	12	28	42
0610007P14Rik	984	961	1014	1174	1467	993	1204	795	1056	835	1131	1362
0610009B22Rik	85	70	128	78	107	60	103	71	95	84	216	227
0610009E02Rik	3	5	3	2	8	3	11	4	4	1	5	4
0610009L18Rik	3	1	3	2	6	1	2	0	3	3	2	10
0610009O20Rik	999	1014	752	731	1337	513	650	588	605	590	1322	1625
0610010F05Rik	389	396	498	505	580	305	425	438	513	440	445	628
0610010K14Rik	8	6	7	11	15	5	2	7	4	4	22	18
0610011F06Rik	850	732	417	610	812	478	528	377	393	412	1348	1602
0610012D04Rik	0	0	0	1	0	0	0	0	0	0	1	2
0610012G03Rik	48	46	66	83	79	38	64	36	40	43	167	153
0610025J13Rik	0	2	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	1462	1311	2611	1521	3080	1254	3019	2620	2437	1931	1196	1612
0610031O16Rik	0	0	2	1	2	0	0	0	3	0	0	0
0610037L13Rik	386	441	478	418	473	253	406	340	377	321	413	571
0610038B21Rik	4	13	8	3	8	11	17	7	8	3	0	0
0610039K10Rik	14	28	26	32	53	15	11	6	13	14	59	50
0610040B10Rik	16	23	16	11	21	8	6	2	8	14	9	10
0610040F04Rik	0	0	0	0	0	0	1	0	0	0	1	0
0610040J01Rik	163	350	99	498	134	211	73	94	116	119	615	809
0610043K17Rik	0	0	0	0	1	0	0	1	0	0	0	0
1010001B22Rik	5	9	6	3	4	6	7	5	3	4	0	0
1010001N08Rik	0	0	1	0	0	0	0	0	0	1	0	0
1110001J03Rik	219	233	181	171	266	146	230	173	159	147	471	608
1110002E22Rik	0	0	0	0	0	0	0	0	3	2	1	0
1110002J07Rik	0	1	0	1	0	1	1	0	0	0	0	0
1110002L01Rik	205	200	121	194	229	171	153	80	167	159	405	490
1110004E09Rik	1499	1583	1332	1711	1868	959	1026	1050	1097	876	936	1166
1110004F10Rik	1181	1039	1147	1270	1520	993	1412	1013	1104	1001	1427	1945
1110007C09Rik	133	126	82	150	188	99	91	59	85	89	82	99
1110008F13Rik	948	966	1078	1238	1303	634	1023	790	756	753	1264	1499
1110008L16Rik	432	393	458	576	587	362	515	398	498	457	403	552
1110008P14Rik	76	97	92	104	126	74	63	53	70	54	133	158
1110012L19Rik	219	169	190	266	231	145	204	195	168	156	295	329
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	1	0	0	0	0	0	0	1	0	0	1
1110018N20Rik	1	2	0	0	2	0	0	0	0	0	3	0
1110019D14Rik	24	35	32	26	52	22	44	38	24	29	0	0
1110020A21Rik	3	4	1	4	6	3	1	0	12	1	0	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	7	0	0	0	17	1	0	2	0	0
1110028F18Rik	2	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	55	40	56	48	36	51	39	31	42	64	32	28
1110032F04Rik	0	19	0	0	1	1	0	0	0	0	0	1
1110034G24Rik	60	65	67	66	64	45	40	22	47	27	131	144
1110035H17Rik	3	2	1	0	3	0	3	4	1	2	1	0
1110036E04Rik	0	0	0	0	1	0	0	0	0	0	0	0
1110037F02Rik	1868	1745	2201	2063	2384	1580	1665	1356	1544	1628	2231	2978
1110038B12Rik	1582	1187	927	1381	1811	954	820	538	844	981	2244	3110
1110038F14Rik	701	593	476	540	789	367	489	450	426	408	719	775
1110046J04Rik	2	5	6	2	8	1	7	4	7	2	9	8
1110051M20Rik	231	226	29	125	175	173	32	26	57	73	167	216
1110054M08Rik	6	2	3	5	1	0	3	4	6	1	0	0
1110057K04Rik	548	488	776	635	835	467	733	579	588	522	822	985
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110058L19Rik	41	34	37	30	59	45	36	19	38	31	124	148
1110059E24Rik	231	247	459	351	445	213	340	306	353	382	372	578
1110059G10Rik	105	105	202	220	205	91	159	140	184	156	127	181
1110065P20Rik	36	48	17	43	46	17	17	14	14	22	135	138
1190002F15Rik	186	193	372	163	327	163	494	265	184	225	0	0
1190002N15Rik	410	487	537	516	533	405	580	442	451	408	672	985
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	0	2	0	1	2	1	1	1	0	0	5	10
1190007I07Rik	443	398	403	344	596	330	457	342	379	305	371	489
1200007C13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1200014J11Rik	1407	1320	1952	1608	2094	1123	1855	1796	1348	1401	1348	1820
1300002E11Rik	81	87	100	77	116	94	125	73	80	70	0	0
1300017J02Rik	1	6	1	3	2	1	0	1	1	0	3	0
1500002C15Rik	5	19	8	11	12	0	17	11	8	8	25	35
1500004A13Rik	174	144	130	135	195	192	134	102	83	126	0	0
1500009C09Rik	0	1	1	1	1	0	0	0	0	0	0	0
1500009L16Rik	0	0	0	0	0	3	0	0	0	0	0	0
1500011B03Rik	178	170	96	139	164	116	130	104	101	111	162	204
1500011K16Rik	134	125	109	134	86	65	61	76	43	68	340	338
1500012F01Rik	951	944	849	1086	1278	692	694	482	706	753	1830	2379
1500012K07Rik	2	0	1	0	0	1	0	0	0	0	0	0
1500015A07Rik	23	31	21	20	35	19	17	16	7	17	0	0
1500015L24Rik	1	0	0	1	0	0	0	0	0	0	0	0
1500015O10Rik	0	0	0	0	0	0	0	0	2	0	1	2
1500017E21Rik	6	5	1	4	6	2	2	1	1	1	13	21
1500026H17Rik	1	0	5	8	2	4	0	4	3	6	0	0
1500035N22Rik	0	1	0	0	1	1	1	0	0	0	0	0
1520401A03Rik	5	0	1	1	0	0	0	0	0	0	2	1
1600002D24Rik	0	0	0	0	0	0	0	0	3	0	0	0
1600002H07Rik	229	163	263	222	359	189	269	222	211	176	458	495
1600002K03Rik	80	80	60	69	73	62	50	37	57	49	288	348
1600010M07Rik	20	22	35	17	22	15	17	6	7	17	0	0
1600012H06Rik	132	159	241	195	236	124	207	157	105	157	197	316
1600012P17Rik	0	0	1	0	0	0	0	0	0	0	0	0
1600014C10Rik	278	160	419	260	443	153	292	275	257	223	358	412
1600014C23Rik	7	10	0	5	1	2	1	4	5	1	7	17
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	48	67	58	43	74	30	42	20	41	56	0	0
1600025M17Rik	0	0	0	0	4	0	0	0	0	0	1	1
1600029I14Rik	0	0	0	0	0	0	2	0	0	0	1	0
1600029O15Rik	2	2	4	2	6	4	4	5	2	2	8	10
1700001C19Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700001D01Rik	0	0	0	0	0	0	1	0	0	1	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	4	5	3	4	4	7	1	2	0	0	3	10
1700001J03Rik	2	0	0	0	0	0	3	0	0	0	0	0
1700001J04Rik	0	0	0	0	0	0	0	1	0	0	0	1
1700001J11Rik	1	2	1	0	1	1	2	1	0	0	0	0
1700001K19Rik	1	0	0	0	5	0	0	0	0	0	0	7
1700001L05Rik	7	5	3	5	6	3	3	7	0	4	17	17
1700001L19Rik	0	2	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	1	2	0	4	5	5	0	2	0	0	8	6
1700001P01Rik	0	1	1	0	4	1	1	2	2	0	1	6
1700003C15Rik	0	0	1	0	1	0	0	0	0	0	0	0
