Networks	Total	pValue	Min FDR	p-value	FDR	In Data	"Network Objects from Active Data"
Translation_Translation initiation	146	6.779E-11	1.024E-08	6.779E-11	1.024E-08	31	RPS19, RPS13, RPL22, RPL26, RPS3A, eIF1AY, RPS8, RPL27A, RPS6, RPS21, RPL23, eIF3S5, RPL6, RPL30, RPL35, eIF2S2, eIF1, RPL11, RPL17, RPS18, Staufen, RPL34, RPL37, RPS9, eIF4E, RPS15a, RPL24, RPS25, RPS16, RPL35a, RPL14
Translation_Elongation-Termination	133	1.496E-10	1.129E-08	1.496E-10	1.129E-08	29	RPS19, RPS13, RPL22, RPL26, RPS3A, eIF1AY, RPS8, SKIV2L, ValRS2, eEF1A1, RPL27A, RPS6, RPS21, RPL23, RPL6, RPL30, RPL35, RPL11, RPL17, RPS18, RPL34, RPL37, RPS9, RPS15a, RPL24, RPS25, RPS16, RPL35a, RPL14
Cytoskeleton_Regulation of cytoskeleton rearrangement	132	7.740E-03	3.896E-01	7.740E-03	3.896E-01	15	TESK2, Alpha-fodrin, PTEN, FGD2, RAP-1A, 14-3-3 gamma, 14-3-3 beta/alpha, 14-3-3 epsilon, Filamin B (TABP), ARPC3, ECT2, PDZ-RhoGEF, Nebulin, Myosin IXb, 14-3-3 eta
Protein folding_Folding in normal condition	95	1.866E-02	7.045E-01	1.866E-02	7.045E-01	11	CABIN1, ERO1Lalpha, DNAJB11, MM-1, VBP-1, FKBP12, HSP10 (mitochondrial), GRPE2, Hdj-2, p23 co-chaperone, DNAJA3 (TID1)
Cell cycle_G1-S	137	2.359E-02	7.054E-01	2.359E-02	7.054E-01	14	c-Abl, Cyclin D2, LATS2, 14-3-3 gamma, Karyopherin alpha 4, 14-3-3 beta/alpha, GAS1, Tuberin, Emi1, 14-3-3 epsilon, 14-3-3 sigma, Karyopherin alpha 1, MAT1, 14-3-3 eta
Inflammation_IL-6 signaling	76	2.803E-02	7.054E-01	2.803E-02	7.054E-01	9	ITGA2B, 14-3-3 gamma, 14-3-3 beta/alpha, Tuberin, 14-3-3 epsilon, 14-3-3 sigma, Elk-1, SOCS3, 14-3-3 eta
Cell cycle_Meiosis	66	3.303E-02	7.124E-01	3.303E-02	7.124E-01	8	14-3-3 gamma, 14-3-3 beta/alpha, 14-3-3 epsilon, Myelin basic protein, MSH5, 14-3-3 sigma, Separase, 14-3-3 eta
Development_Regulation of telomere length	42	8.913E-02	9.950E-01	8.913E-02	9.950E-01	5	RPL22, hnRNP A1, Staufen, TEP1, p23 co-chaperone
DNA damage_Checkpoint	100	1.163E-01	9.950E-01	1.163E-01	9.950E-01	9	c-Abl, Cyclin D2, p38alpha (MAPK14), 14-3-3 gamma, 14-3-3 beta/alpha, 14-3-3 epsilon, 14-3-3 sigma, Separase, 14-3-3 eta
Neurophysiological process_Corticoliberin signaling	22	1.278E-01	9.950E-01	1.278E-01	9.950E-01	3	RAP-1A, GRK6, Elk-1
Autophagy_Autophagy	47	1.284E-01	9.950E-01	1.284E-01	9.950E-01	5	PTEN, Tuberin, TRAM, ATG13, ULK1
Reproduction_Feeding and Neurohormone signaling 	120	1.466E-01	9.950E-01	1.466E-01	9.950E-01	10	Cyclin D2, IL11RA, 14-3-3 gamma, Tuberin, PKC-epsilon, LAMG1, Elk-1, eIF4E, GHR, RPL14
Cytoskeleton_Actin filaments	121	1.523E-01	9.950E-01	1.523E-01	9.950E-01	10	c-Abl, TESK2, Alpha-fodrin, Filamin B (TABP), ARPC3, Myosin VIIA, Nebulin, Myosin IXb, Tropomyosin-4, LIMK2
