Networks	Total	pValue	Min FDR	p-value	FDR	In Data	"Network Objects from Active Data"
Signal transduction_Erk Interactions: Inhibition of Erk	34	7.140E-07	2.868E-04	7.140E-07	2.868E-04	7	MKP-3, MKP-X, PKA-cat (cAMP-dependent), Calcineurin A (catalytic), MKP-4, PP2A catalytic, MKP-2
Immune response_IL-7 signaling in T lymphocytes	37	1.314E-06	2.868E-04	1.314E-06	2.868E-04	7	RAG2, RAG1/2 complex, FKHR, IRS-1, Fyn, RAG1, PI3K cat class IA (p110-alpha)
Immune response_Platelet activating factor/ PTAFR pathway signaling	55	1.835E-06	2.868E-04	1.835E-06	2.868E-04	8	PI3K cat class IA, p38 MAPK, NF-AT1(NFATC2), Adenylate cyclase, PKA-cat (cAMP-dependent), Calcineurin A (catalytic), NF-AT, NF-kB
Immune response_CD28 signaling	55	1.835E-06	2.868E-04	1.835E-06	2.868E-04	8	PI3K cat class IA, p38 MAPK, NF-AT1(NFATC2), Calcineurin A (catalytic), NF-AT, NF-kB, PIP5KI, Fyn
Breakdown of CD4+ T cell peripheral tolerance in type 1 diabetes mellitus	49	9.383E-06	1.173E-03	9.383E-06	1.173E-03	7	RAG2, HLA-DQA1, NF-AT, NF-kB, HLA-DRB1, RAG1, MHC class II
Immune response_Antigen presentation by MHC class II	118	1.399E-05	1.458E-03	1.399E-05	1.458E-03	10	MHC class II alpha chain, PI3K cat class IA, CD23, p38 MAPK, MHC class II beta chain, CD74, HLA-DM, MYO1E, MHC class II, PIP5K1A
Immune response_IL-16 signaling pathway	55	2.051E-05	1.809E-03	2.051E-05	1.809E-03	7	RAG2, RAG1/2 complex, FKHR, IL-16, Skp2/TrCP/FBXW, RAG1, PI3K cat class IA (p110-alpha)
Signal transduction_Cyclic AMP signaling	38	2.316E-05	1.809E-03	2.316E-05	1.809E-03	6	PKA-cat (cAMP-dependent), RAP-1A, Calcineurin A (catalytic), Adenylate cyclase type VIII, Adenylate cyclase type III, Ryanodine receptor 1
Apoptosis and survival_APRIL and BAFF signaling	39	2.702E-05	1.877E-03	2.702E-05	1.877E-03	6	CD23, NF-AT1(NFATC2), NF-kB2 (p100), Calcineurin A (catalytic), NF-kB2 (p52), CD21
Neurogenesis_NGF/ TrkA MAPK-mediated signaling	105	3.479E-05	2.175E-03	3.479E-05	2.175E-03	9	p38 MAPK, RIN, RGS2, PKA-cat (cAMP-dependent), RAP-1A, PP2A catalytic, EGR1, RIT, APS
