Networks	Total	pValue	Min FDR	p-value	FDR	In Data	"Network Objects from Active Data"
Cell adhesion_Leucocyte chemotaxis	115	1.759E-03	2.181E-01	1.759E-03	2.181E-01	7	Calmodulin, PTEN, c-Src, CCR3, Pyk2(FAK2), CCL21, GRAP2
Reproduction_Gonadotropin regulation	88	1.090E-02	4.247E-01	1.090E-02	4.247E-01	5	Calmodulin, CACNA1C, c-Src, MEK4(MAP2K4), Pyk2(FAK2)
Cell adhesion_Integrin priming	58	1.169E-02	4.247E-01	1.169E-02	4.247E-01	4	Calmodulin, PTEN, c-Src, Cytohesin3
Neurophysiological process_Long-term potentiation	33	1.371E-02	4.247E-01	1.371E-02	4.247E-01	3	Calmodulin, c-Src, Pyk2(FAK2)
Signal Transduction_Cholecystokinin signaling	66	1.812E-02	4.247E-01	1.812E-02	4.247E-01	4	Calmodulin, c-Src, CCR3, Pyk2(FAK2)
Proliferation_Lymphocyte proliferation	149	2.614E-02	4.247E-01	2.614E-02	4.247E-01	6	Calmodulin, TNF-beta, MEK4(MAP2K4), Pyk2(FAK2), CD40(TNFRSF5), GRAP2
Development_Neurogenesis_Axonal guidance	155	3.097E-02	4.247E-01	3.097E-02	4.247E-01	6	Calmodulin, CACNA1C, c-Src, ROBO2, UNC5C, APOER2
Neurophysiological process_GABAergic neurotransmission	45	3.129E-02	4.247E-01	3.129E-02	4.247E-01	3	Calmodulin, c-Src, Pyk2(FAK2)
Immune response_Antigen presentation	126	4.357E-02	4.247E-01	4.357E-02	4.247E-01	5	HLA-DOA, Tapasin, HLA-E, CD40(TNFRSF5), HLA-Cw3
Neurophysiological process_Corticoliberin signaling	22	4.430E-02	4.247E-01	4.430E-02	4.247E-01	2	Calmodulin, CACNA1C
Signal transduction_ERBB-family signaling	52	4.519E-02	4.247E-01	4.519E-02	4.247E-01	3	PTEN, c-Src, MEK4(MAP2K4)
Apoptosis_Anti-Apoptosis mediated by external signals by Estrogen	52	4.519E-02	4.247E-01	4.519E-02	4.247E-01	3	CACNA1C, c-Src, MEK4(MAP2K4)
Development_ERK5 in cell proliferation and neuronal survival	23	4.805E-02	4.247E-01	4.805E-02	4.247E-01	2	SGK1, PKC-lambda/iota
Immune response_T helper cell differentiation	90	4.894E-02	4.247E-01	4.894E-02	4.247E-01	4	Calmodulin, TNF-beta, MEK4(MAP2K4), CD40(TNFRSF5)
Muscle contraction_Nitric oxide signaling in the cardiovascular system	58	5.915E-02	4.247E-01	5.915E-02	4.247E-01	3	Calmodulin, CACNA1C, c-Src
Signal transduction_Oxytocin signaling	26	5.994E-02	4.247E-01	5.994E-02	4.247E-01	2	Calmodulin, CACNA1C
Neurophysiological process_Olfactory transduction	4	6.024E-02	4.247E-01	6.024E-02	4.247E-01	1	Calmodulin
Signal transduction_ESR2 pathway	59	6.166E-02	4.247E-01	6.166E-02	4.247E-01	3	Calmodulin, c-Src, DAM1
Reproduction_FSH-beta signaling pathway	99	6.514E-02	4.251E-01	6.514E-02	4.251E-01	4	Calmodulin, c-Src, DUSP5, Pyk2(FAK2)
