Input IDs	Network Object Name	Gene Symbol	Signal	p-value
Rpl17	RPL17	Rpl17	-0.291038252	0.03777828
	RPL23	LOC100044627		
	RPL23	LOC100862455		
Rpl17	RPL23	Rpl23	-0.291038252	0.03777828
Rpl27a	RPL27A	Rpl27a	-0.255557656	0.04430122
Rpl30	RPL30	Rpl30	-0.258883134	0.03297714
Rps19	RPS19	Rps19	-0.286454179	0.02704549
Rps24	RPS24	Rps24	-0.281660845	0.029261
Rps3a1	RPS3A	Rps3a1	-0.28470917	0.03297714
	RPS6	LOC105244208		
Rps6	RPS6	Rps6	-0.261448871	0.02704549
Stau1	Staufen	Stau1	-0.188213418	0.04795067
Eif3f	eIF3S5	Eif3f	-0.283245113	0.04743176
